customer_id,customer_city,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
281fb8b9868caf9889214e5a8d56e271,vicosa,delivered,10/27/2017 16:21,10/27/2017 17:31,11/1/2017 0:07,11/6/2017 20:17,11/22/2017 0:00,1,11/3/2017 16:35,1437,42.51,1,credit_card,8,1479.51,pcs,55,3611,4,2750,16,31,39
74739c82729e0172c2449caa51f42122,brasilia,delivered,12/11/2017 13:32,12/11/2017 13:50,12/11/2017 23:10,12/26/2017 19:52,1/11/2018 0:00,1,12/20/2017 13:50,349.9,22.85,1,credit_card,7,372.75,beleza_saude,51,625,1,900,25,12,38
70fd1803205b1552d3a4ead3f6997b50,artur nogueira,delivered,2/16/2018 20:24,2/16/2018 20:46,2/20/2018 15:37,3/8/2018 16:12,3/15/2018 0:00,1,2/22/2018 19:46,69.9,12.62,1,credit_card,3,82.52,informatica_acessorios,51,518,1,214,18,14,13
0309b2a47dddf69e60c888db00cb5858,fernandopolis,delivered,1/7/2018 10:16,1/8/2018 10:11,1/9/2018 20:45,1/13/2018 1:03,2/5/2018 0:00,1,1/17/2018 10:11,250,35.02,1,credit_card,6,285.02,moveis_decoracao,51,756,1,12250,45,35,45
22a330de6f63a8d1631ce94b17a4fafe,castelo,delivered,7/24/2017 22:09,7/24/2017 22:23,7/26/2017 11:07,8/9/2017 17:17,8/28/2017 0:00,1,7/30/2017 22:23,75.9,25.81,1,credit_card,3,101.71,informatica_acessorios,45,267,1,167,16,12,13
f241eda6e0ef48fb716e435126893b88,rio de janeiro,delivered,3/8/2017 19:29,3/8/2017 19:29,3/13/2017 12:38,3/16/2017 7:14,3/29/2017 0:00,1,3/14/2017 19:29,53.9,18.66,1,boleto,1,72.56,cool_stuff,58,1252,1,1100,30,20,23
d29d92e86e87e8732c9558570df752ca,sao paulo,delivered,7/10/2018 9:46,7/10/2018 9:55,7/10/2018 15:06,7/13/2018 0:06,7/18/2018 0:00,3,7/12/2018 9:55,55,7.64,1,debit_card,1,184.92,relogios_presentes,55,175,8,250,16,2,11
66bfee5a94e8fe83382dc2778767e543,maringa,delivered,2/28/2018 8:35,2/28/2018 8:48,3/1/2018 19:33,3/14/2018 14:18,4/2/2018 0:00,1,3/6/2018 8:48,67,17,1,credit_card,2,84,beleza_saude,41,869,1,200,17,14,12
364c498abca5a4cff3fe15573743034c,mogi das cruzes,delivered,10/3/2017 14:32,10/3/2017 14:49,10/4/2017 20:24,10/13/2017 18:05,10/25/2017 0:00,1,10/9/2017 14:49,56.99,12.74,1,credit_card,1,69.73,cama_mesa_banho,50,381,1,875,25,18,40
9a09e1150a3e2333eb93d3c1612bf15f,rio das ostras,delivered,4/1/2018 19:44,4/1/2018 20:30,4/2/2018 18:58,4/6/2018 20:38,4/26/2018 0:00,3,4/6/2018 20:30,39.99,1.1,1,credit_card,2,224.97,perfumaria,50,54,1,50,30,10,20
461ee11aeaf3041731370e0d1e5adaf6,ipatinga,delivered,2/27/2017 16:42,2/27/2017 16:50,3/1/2017 15:31,3/10/2017 7:35,3/23/2017 0:00,1,3/6/2017 16:50,156.99,22.57,1,credit_card,8,179.56,cama_mesa_banho,55,198,1,2700,35,20,30
428f696c9a8641d3e9a0ec0febd9a4bd,sao paulo,delivered,7/4/2018 23:48,7/5/2018 16:11,7/5/2018 13:56,7/13/2018 12:06,7/19/2018 0:00,1,7/11/2018 0:30,58,8.15,1,credit_card,1,66.15,bebidas,45,887,1,250,18,18,18
d6148957a1cd01ebafb44c1f9a5ef949,sao paulo,delivered,11/25/2017 23:17,11/25/2017 23:33,11/27/2017 21:11,11/29/2017 21:55,12/21/2017 0:00,1,12/4/2017 23:31,255,22.63,1,credit_card,3,277.63,esporte_lazer,46,982,1,3000,36,31,31
5cbf704d3c80979cbc58c54881ee3e98,ribeirao pires,delivered,9/13/2017 22:55,9/13/2017 23:05,9/14/2017 13:59,9/19/2017 20:22,9/25/2017 0:00,1,9/19/2017 23:05,42.9,9.27,1,credit_card,1,52.17,sinalizacao_e_seguranca,59,669,3,290,18,12,15
e2aae3069bad7962c01d7ecfa869bb80,sao paulo,delivered,2/12/2018 19:12,2/12/2018 19:28,2/16/2018 23:52,2/22/2018 12:08,2/26/2018 0:00,2,2/16/2018 19:28,26.14,11.73,2,voucher,1,70.84,beleza_saude,36,535,1,2000,30,12,16
b6b5f05626c60dd79df381ce89fdb876,sao bernardo do campo,delivered,3/23/2018 13:44,3/23/2018 13:55,3/27/2018 0:38,4/2/2018 11:41,4/17/2018 0:00,1,3/29/2018 13:55,47.02,16.32,1,credit_card,4,126.68,esporte_lazer,34,545,1,300,24,20,21
