customer_id,customer_city,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,label
5b8c0cfaa1c0eb993a464dc9d9d0384d,rio de janeiro,delivered,8/8/2017 12:22,8/8/2017 13:20,8/8/2017 19:20,8/14/2017 20:39,9/13/2017 0:00,2,8/14/2017 12:34,78,9,1,credit_card,1,174,moveis_decoracao,47,325,6,3300,28,29,35,0
54bf961dd7993c42e63fed62f478f87c,ouro preto,delivered,12/3/2017 19:18,12/3/2017 19:33,12/8/2017 18:24,1/8/2018 19:47,1/2/2018 0:00,1,12/7/2017 19:31,89.9,21.12,1,credit_card,4,111.02,cama_mesa_banho,54,245,1,1383,50,10,40,1
6bd3af263aba7459bf1e349624a1512a,espera feliz,delivered,10/2/2017 20:56,10/2/2017 21:07,10/5/2017 13:03,10/11/2017 20:08,10/27/2017 0:00,1,10/8/2017 21:07,59.9,17.67,1,credit_card,1,77.57,automotivo,56,651,5,7200,72,4,44,1
52bb5fa693affe0c16d28988440ce8e1,conselheiro lafaiete,delivered,3/4/2018 22:13,3/4/2018 22:49,3/5/2018 18:05,3/22/2018 17:06,3/29/2018 0:00,1,3/8/2018 22:30,58,27.79,1,credit_card,1,35.79,esporte_lazer,31,492,3,1550,62,18,15,0
c83ceef725175bc8789fd9b820098b08,belo horizonte,delivered,12/2/2017 11:04,12/2/2017 11:30,12/6/2017 10:12,12/18/2017 19:48,1/2/2018 0:00,1,12/7/2017 11:12,49.9,16.11,1,credit_card,2,66.01,cama_mesa_banho,55,166,1,700,49,4,50,1
e7b4533fa7975f8c10b1b6223fc39e68,balneario camboriu,delivered,6/28/2018 9:34,6/29/2018 5:10,7/3/2018 14:08,7/9/2018 19:28,7/23/2018 0:00,1,7/3/2018 5:10,110.32,18.87,1,boleto,1,129.19,beleza_saude,60,919,1,150,22,3,15,1
88891fdcc43f37bf275ecdf1461982af,rio de janeiro,delivered,1/10/2018 22:56,1/12/2018 2:33,1/16/2018 15:29,1/29/2018 17:16,2/7/2018 0:00,2,1/18/2018 2:33,59,15.16,1,boleto,1,148.32,beleza_saude,48,2910,1,300,18,9,12,1
1243b85af9f260a323231c4813007315,parauapebas,delivered,6/11/2017 18:22,6/11/2017 18:35,6/13/2017 10:09,6/28/2017 17:07,7/20/2017 0:00,1,6/20/2017 18:35,56.99,25.68,1,credit_card,1,82.67,perfumaria,48,1003,4,350,18,11,20,1
e54a73f1dbf67381532d18a017272110,rondonopolis,delivered,4/7/2017 11:23,4/7/2017 11:35,4/11/2017 12:15,4/20/2017 14:48,5/22/2017 0:00,1,4/25/2017 11:32,14.9,20.8,2,voucher,1,25,tablets_impressao_imagem,34,150,1,150,60,11,11,0
2fba0d3535e03b92c457788233f615b6,lavras,delivered,11/27/2017 19:25,11/27/2017 19:39,12/8/2017 2:18,12/18/2017 13:52,12/19/2017 0:00,1,12/1/2017 19:39,99.9,17.95,1,credit_card,5,117.85,cama_mesa_banho,60,259,1,1225,35,15,38,1
